------------------------------------------------------------
Server listening on TCP port 5555 with pid 10523
Read buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.8 port 5555 connected with 10.0.0.6 port 34048
[ ID] Interval            Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 55.0000-56.0000 sec   184 KBytes  1.51 Mbits/sec  22    21:1:0:0:0:0:0:0
[  4] 56.0000-57.0000 sec  2.32 MBytes  19.5 Mbits/sec  26    0:1:1:11:0:0:1:12
[  4] 57.0000-58.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 58.0000-59.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 59.0000-60.0000 sec  62.2 KBytes   510 Kbits/sec  7    7:0:0:0:0:0:0:0
[  4] 60.0000-61.0000 sec  4.03 MBytes  33.8 Mbits/sec  51    5:3:2:19:1:0:0:21
[  4] 61.0000-62.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 62.0000-63.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 63.0000-64.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 64.0000-65.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 65.0000-66.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 66.0000-67.0000 sec   106 KBytes   869 Kbits/sec  17    17:0:0:0:0:0:0:0
[  4] 67.0000-68.0000 sec  2.52 MBytes  21.1 Mbits/sec  32    4:3:1:10:0:0:0:14
[  4] 68.0000-69.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 69.0000-70.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 70.0000-71.0000 sec  14.1 KBytes   116 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 71.0000-72.0000 sec  3.24 MBytes  27.2 Mbits/sec  54    18:4:0:14:1:0:0:17
[  4] 72.0000-73.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 73.0000-74.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 74.0000-75.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 75.0000-76.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 76.0000-77.0000 sec   556 KBytes  4.56 Mbits/sec  27    21:2:1:1:0:0:0:2
[  4] 77.0000-78.0000 sec  1.96 MBytes  16.4 Mbits/sec  21    0:0:0:10:0:0:1:10
[  4] 78.0000-79.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 79.0000-80.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 80.0000-81.0000 sec  83.4 KBytes   683 Kbits/sec  12    12:0:0:0:0:0:0:0
[  4] 81.0000-82.0000 sec  2.61 MBytes  21.9 Mbits/sec  38    8:3:1:12:0:0:2:12
[  4] 82.0000-83.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 83.0000-84.0000 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 84.0000-85.0000 sec  14.1 KBytes   116 Kbits/sec  1    1:0:0:0:0:0:0:0
