------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5555 with pid 8377
Write buffer size:  250 KByte
TCP window size:  156 KByte (WARNING: requested 78.1 KByte)
------------------------------------------------------------
[  3] local 10.0.0.9 port 40028 connected with 10.0.0.2 port 5555 (ct=241.07 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec   723 KBytes  5.93 Mbits/sec  3/0          0       84K/131105 us  5.65
[  3] 1.0000-2.0000 sec  1.46 MBytes  12.3 Mbits/sec  6/0          0      117K/87212 us  17.61
[  3] 2.0000-3.0000 sec  1000 KBytes  8.19 Mbits/sec  4/0          0      192K/163125 us  6.28
[  3] 3.0000-4.0000 sec  1.46 MBytes  12.3 Mbits/sec  6/0          0      237K/173553 us  8.85
[  3] 4.0000-5.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      302K/151413 us  8.45
[  3] 5.0000-6.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      302K/205770 us  6.22
[  3] 6.0000-7.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      318K/206989 us  6.18
[  3] 7.0000-8.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      318K/174929 us  7.32
[  3] 8.0000-9.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      318K/206530 us  6.20
[  3] 9.0000-10.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      318K/210808 us  6.07
[  3] 10.0000-11.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      318K/205896 us  6.22
[  3] 11.0000-12.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/190007 us  6.74
[  3] 12.0000-13.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/207125 us  6.18
[  3] 13.0000-14.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/166196 us  7.70
[  3] 14.0000-15.0000 sec  1.46 MBytes  12.3 Mbits/sec  6/0          0      581K/197633 us  7.77
[  3] 15.0000-16.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/208760 us  6.13
[  3] 16.0000-17.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/213143 us  6.01
[  3] 17.0000-18.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/180071 us  7.11
[  3] 18.0000-19.0000 sec  1.22 MBytes  10.2 Mbits/sec  5/0          0      581K/185944 us  6.88
