------------------------------------------------------------
Client connecting to 10.0.0.8, TCP port 5555 with pid 10527
Write buffer size: 9.54 MByte
TCP window size:  156 KByte (WARNING: requested 78.1 KByte)
------------------------------------------------------------
[  3] local 10.0.0.6 port 34048 connected with 10.0.0.8 port 5555 (ct=16.42 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 54.0000-55.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13172 us  0.00
[  3] 55.0000-56.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13172 us  0.00
[  3] 56.0000-57.0000 sec  4.09 MBytes  34.3 Mbits/sec  1/0          1      588K/19944 us  215.05
[  3] 57.0000-58.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      588K/19944 us  0.00
[  3] 58.0000-59.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      588K/19944 us  0.00
[  3] 59.0000-60.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      588K/19944 us  0.00
[  3] 60.0000-61.0000 sec  2.62 MBytes  22.0 Mbits/sec  1/0          0      766K/13145 us  209.30
[  3] 61.0000-62.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 62.0000-63.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 63.0000-64.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 64.0000-65.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 65.0000-66.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 66.0000-67.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13145 us  0.00
[  3] 67.0000-68.0000 sec  3.25 MBytes  27.3 Mbits/sec  1/0          0      661K/12960 us  263.12
[  3] 68.0000-69.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      661K/12960 us  0.00
[  3] 69.0000-70.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      661K/12960 us  0.00
[  3] 70.0000-71.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      661K/12960 us  0.00
[  3] 71.0000-72.0000 sec  2.50 MBytes  21.0 Mbits/sec  1/0          1      452K/13085 us  200.63
[  3] 72.0000-73.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/13085 us  0.00
[  3] 73.0000-74.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/13085 us  0.00
[  3] 74.0000-75.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/13085 us  0.00
[  3] 75.0000-76.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/13085 us  0.00
[  3] 76.0000-77.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/13085 us  0.00
[  3] 77.0000-78.0000 sec  2.69 MBytes  22.6 Mbits/sec  1/0          0      452K/13074 us  215.75
[  3] 78.0000-79.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13074 us  0.00
[  3] 79.0000-80.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13074 us  0.00
[  3] 80.0000-81.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13074 us  0.00
[  3] 81.0000-82.0000 sec  4.04 MBytes  33.9 Mbits/sec  1/0          0      588K/13667 us  310.11
[  3] 82.0000-83.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13667 us  0.00
[  3] 83.0000-84.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13667 us  0.00
[  3] 84.0000-85.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13667 us  0.00
[  3] 85.0000-86.0000 sec  2.63 MBytes  22.0 Mbits/sec  1/0          1      828K/13231 us  208.15
[  3] 86.0000-87.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 87.0000-88.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 88.0000-89.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 89.0000-90.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 90.0000-91.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 91.0000-92.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      828K/13231 us  0.00
[  3] 92.0000-93.0000 sec  2.78 MBytes  23.3 Mbits/sec  1/0          0      588K/13267 us  219.92
[  3] 93.0000-94.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13267 us  0.00
[  3] 94.0000-95.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13267 us  0.00
[  3] 95.0000-96.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13267 us  0.00
[  3] 96.0000-97.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13267 us  0.00
[  3] 97.0000-98.0000 sec  2.55 MBytes  21.4 Mbits/sec  1/0          0      531K/16796 us  159.49
[  3] 98.0000-99.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      531K/16796 us  0.00
[  3] 99.0000-100.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      531K/16796 us  0.00
[  3] 100.0000-101.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      531K/16796 us  0.00
[  3] 101.0000-102.0000 sec  3.16 MBytes  26.5 Mbits/sec  1/0          0      637K/13309 us  248.82
[  3] 102.0000-103.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      637K/13309 us  0.00
[  3] 103.0000-104.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      637K/13309 us  0.00
[  3] 104.0000-105.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      637K/13309 us  0.00
[  3] 105.0000-106.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      637K/13309 us  0.00
[  3] 106.0000-107.0000 sec  2.69 MBytes  22.6 Mbits/sec  1/0          0      452K/13082 us  215.62
[  3] 107.0000-108.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13082 us  0.00
[  3] 108.0000-109.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13082 us  0.00
[  3] 109.0000-110.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13082 us  0.00
[  3] 110.0000-111.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/13082 us  0.00
[  3] 111.0000-112.0000 sec  3.21 MBytes  26.9 Mbits/sec  1/0          1      531K/19832 us  169.76
[  3] 112.0000-113.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      531K/19832 us  0.00
[  3] 113.0000-114.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      531K/19832 us  0.00
[  3] 114.0000-115.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      531K/19832 us  0.00
[  3] 115.0000-116.0000 sec  3.06 MBytes  25.7 Mbits/sec  1/0          0      452K/18376 us  174.77
[  3] 116.0000-117.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      452K/18376 us  0.00
